tree,crosswalk,stop_sign,traffic_light,chinese_calligraphy,bike_lane,fire_hydrant,sidewalk,node_id
True,True,True,False,False,False,False,True,7884019601
True,True,False,False,False,True,False,True,3620902830
True,True,False,True,False,True,False,True,8519179718
True,True,False,True,False,True,False,True,8519179722
True,True,True,False,False,True,False,True,2691995745
True,True,False,False,False,True,False,True,12258253116
True,False,False,False,False,False,False,True,7732632005
True,True,False,False,False,True,True,True,4039154194
True,False,True,False,False,False,False,True,7504992829
True,True,False,True,False,False,True,True,4804188849
True,True,False,True,False,False,False,False,4804188851
True,True,False,False,False,False,False,True,7882742568
True,True,True,False,False,False,True,True,61283119
True,True,False,False,False,True,False,True,61283126
True,True,False,False,False,False,False,True,7887231878
True,True,False,False,False,True,True,True,61283218
True,False,False,False,False,True,False,True,12300622788
True,True,False,True,False,True,True,True,61283269
True,False,False,False,False,True,False,True,12300622787
True,True,True,False,False,False,True,True,61283287
True,True,True,True,False,False,True,True,61283293
True,True,True,False,False,False,False,True,61283311
True,True,False,False,False,False,False,True,61283315
True,True,True,True,False,True,True,False,1052777483
True,True,False,False,False,True,False,True,7866981387
True,True,False,False,False,True,False,True,61283350
True,True,False,True,False,True,False,True,1052777499
True,True,False,True,False,True,False,True,7866981406
True,True,False,True,False,True,False,False,7866981409
True,True,False,True,False,True,False,False,61283361
True,True,False,False,False,True,True,True,61283366
True,True,False,False,False,True,False,True,61283373
True,True,False,False,False,True,False,True,61283385
True,True,False,False,False,False,False,True,7866981432
True,True,False,False,False,False,True,True,7866981442
True,True,False,False,False,False,False,True,9072007516
False,True,False,False,False,False,False,True,1678319187
True,True,False,False,False,False,True,True,7163354738
True,True,False,False,False,False,False,True,7163354739
True,False,False,False,False,False,False,False,61349570
True,True,False,False,False,False,True,True,7899258802
True,True,False,True,False,True,False,True,4248838232
True,True,False,True,False,True,True,True,4248838242
True,True,False,True,False,True,False,True,4248838247
True,True,False,True,False,True,False,False,61317281
True,False,True,True,False,False,True,True,61317284
True,True,False,False,False,True,False,True,6114648253
True,True,False,False,False,True,False,True,6114648254
True,True,False,False,False,False,True,True,61327096
True,True,False,False,False,False,True,True,9632096593
True,True,False,False,False,False,False,True,61317476
True,True,False,False,False,False,True,True,61317501
True,False,False,False,False,False,False,True,61317503
True,True,False,False,False,False,False,True,6594863534
True,True,True,False,False,False,True,True,61317553
True,False,False,False,False,False,True,True,61317649
True,True,False,False,False,False,False,True,61317651
True,True,False,True,False,True,False,False,11748975281
True,True,False,False,False,True,False,True,2446369622
True,True,False,True,False,False,False,True,61318066
True,True,False,False,False,False,False,True,61318074
True,True,True,True,False,False,False,True,61318087
True,True,False,False,False,False,False,True,9234097169
True,True,True,True,False,False,False,True,5674279987
True,True,False,False,False,True,False,True,7626171491
True,True,False,True,False,True,True,True,5458830476
True,True,False,False,False,True,True,True,7794633914
True,True,True,False,False,True,True,True,5458830603
True,True,False,False,False,True,False,True,5458830608
True,True,False,False,False,False,False,True,5458830613
True,True,False,False,False,True,True,True,61318454
True,True,False,False,False,False,True,True,12188657052
True,True,True,True,False,True,False,True,61318572
True,True,True,False,False,False,True,True,61318589
True,True,False,False,False,False,False,True,61318592
True,True,True,False,False,False,True,True,61318595
True,True,False,False,False,True,False,True,61318626
True,False,False,True,False,True,False,True,11752005398
True,True,True,False,False,True,True,True,4040435533
True,True,False,False,False,True,False,True,7890165200
True,True,False,False,False,True,False,True,7890165204
True,True,False,False,False,True,False,True,11178027118
True,True,False,False,False,False,False,True,7890165221
True,True,False,False,False,False,False,True,7890165231
True,True,False,False,False,False,True,True,7890165232
True,True,False,False,False,False,False,True,7890165294
True,True,True,False,False,False,True,True,7890165296
True,True,True,False,False,True,False,True,531212784
True,True,False,False,False,False,False,True,9290820336
True,True,False,False,False,False,True,True,7794600733
True,True,False,False,False,False,False,True,7794600769
True,True,False,True,False,True,False,True,7794600771
True,True,False,True,False,True,False,False,7794600774
True,True,False,True,False,True,False,True,7794600778
True,True,True,False,False,True,True,True,7890165384
True,True,True,False,False,False,False,True,7890165400
True,True,True,False,False,False,False,False,7890165401
True,False,True,False,False,False,True,True,9692752987
True,True,False,False,False,True,True,True,7794633910
True,True,True,True,False,True,True,True,61353248
True,True,True,False,False,False,True,True,61353260
True,True,True,True,False,False,False,True,2694721001
True,True,False,False,False,False,True,True,2694721006
True,True,True,True,False,False,False,True,2694721017
True,True,False,False,False,False,True,True,2694721022
True,True,True,False,False,True,True,True,61353530
True,True,False,False,False,False,True,True,61321274
True,True,False,False,False,False,True,True,10827435148
True,True,False,True,False,False,False,True,1705717514
True,True,True,False,False,True,False,True,61320984
True,True,True,False,False,True,False,True,61320986
True,True,False,False,False,True,False,True,2292068139
True,True,False,True,False,True,False,True,1524379438
True,True,True,False,False,True,False,True,9163452275
True,True,False,False,False,False,False,True,61321121
True,True,True,False,False,False,True,True,61321125
True,True,False,False,False,False,True,True,61321127
True,True,False,False,False,False,True,True,61321123
True,True,False,False,False,False,True,True,61321132
True,True,True,False,False,True,True,True,61321134
True,True,True,False,False,False,False,True,61321144
True,True,False,False,False,False,False,True,61321146
False,True,False,False,False,True,False,True,5458830470
True,True,False,False,False,True,False,True,5458830469
True,True,False,True,False,True,True,True,7590916052
True,True,True,True,False,True,False,True,7590916054
True,True,False,True,False,True,False,True,7590916056
True,True,False,False,False,True,False,True,7590916076
True,True,True,False,False,False,True,True,7870841845
True,True,False,False,False,True,False,True,7870841848
True,False,False,False,False,False,False,True,7928360973
True,False,False,False,False,False,False,True,7928360974
True,False,False,False,False,False,False,True,7928360972
True,True,False,False,False,False,True,True,61321273
True,True,True,True,False,True,False,True,61321277
True,True,False,False,False,True,False,True,61321305
True,True,False,True,False,True,True,True,61321312
True,True,True,False,False,False,False,True,61321470
True,True,False,False,False,False,False,True,61321474
True,True,False,False,False,True,False,True,61321483
True,True,False,False,False,True,False,True,61321580
True,True,False,False,False,True,False,True,61321593
True,True,False,False,False,True,True,True,61321602
True,True,False,False,False,True,False,True,7631024523
True,True,False,False,False,True,False,True,7631024525
True,True,False,False,False,True,False,True,7631024529
True,True,False,False,False,True,True,True,7631024542
True,True,False,False,False,False,True,True,8334324236
True,True,False,False,False,False,True,True,61321741
True,True,False,False,False,False,False,True,61321827
True,True,True,False,False,True,False,True,61321828
True,True,True,False,False,False,False,True,61321830
True,True,False,False,False,False,True,True,61321867
True,True,False,False,False,False,True,True,61321476
True,True,False,True,False,False,False,True,61322052
True,True,False,False,False,True,True,True,61322085
True,True,False,False,False,False,False,True,61322272
True,True,False,False,False,False,False,True,61328066
True,True,True,False,False,False,True,True,61328068
True,True,True,False,False,True,False,True,61322354
True,True,True,False,False,False,True,True,61322373
True,True,False,False,False,False,False,True,61322382
True,True,False,False,False,False,False,True,61328095
True,True,True,True,False,True,False,True,11774244042
True,True,False,True,False,True,False,True,6100432137
True,True,False,False,False,True,False,True,61322643
True,True,True,False,False,True,True,True,61322647
True,True,True,False,False,False,True,True,61552088
True,True,False,False,False,False,True,True,61322871
True,True,True,False,False,False,True,True,61322874
True,True,True,True,False,False,True,True,61322877
True,True,False,False,False,False,True,True,61322880
True,True,False,False,False,False,False,True,61322884
True,True,False,False,False,False,True,True,61322898
True,True,False,False,False,False,False,True,61322905
True,True,False,False,False,False,True,True,7138784952
True,True,False,False,False,False,False,True,61321698
True,True,False,True,False,True,False,False,61323022
True,True,False,False,False,True,False,True,61323024
True,True,True,True,False,True,True,True,61323032
True,True,True,False,False,False,False,True,61321743
True,True,False,False,False,False,True,True,7868528680
True,False,False,False,False,False,False,True,7868528681
True,True,False,False,False,True,True,True,3726719016
True,True,True,False,False,True,False,True,61323312
True,True,True,False,False,True,False,True,4726175802
True,True,False,False,False,False,True,True,61323402
True,True,True,False,False,True,True,True,61323441
True,True,False,False,False,False,True,True,61323451
True,True,True,False,False,False,True,True,61323453
True,True,False,False,False,False,False,True,61323454
True,True,False,True,False,True,False,True,6154467570
True,True,False,True,False,True,False,True,6154467573
True,True,False,True,False,True,False,True,6154467576
True,True,False,False,False,True,True,True,4328995185
True,True,False,False,False,True,False,True,10737427679
True,True,False,True,False,True,False,True,11875072403
True,True,False,False,False,True,False,True,568122717
True,True,True,False,False,False,False,True,1872214552
True,True,False,False,False,False,False,True,3726719625
True,True,True,False,False,False,False,True,61422226
True,False,True,False,False,False,False,True,61422261
True,True,False,False,False,False,False,True,61321893
True,True,False,False,False,False,False,True,473905903
True,True,True,True,False,True,True,True,5742705423
True,True,True,False,False,True,True,True,9634429755
True,True,False,False,False,False,True,True,9332964163
True,True,False,False,False,False,True,True,61321917
True,False,False,False,False,False,True,True,61321942
True,True,True,False,False,False,False,True,9771105260
True,False,False,True,False,True,False,True,539999216
True,True,False,True,False,True,False,True,277667281
False,True,False,False,False,False,True,True,2862973492
True,True,True,False,False,False,True,True,61324566
True,True,True,False,False,False,False,True,61324595
True,False,False,False,False,True,False,True,61324599
True,True,False,False,False,True,False,True,61324628
True,True,False,False,False,True,True,True,61324630
True,False,False,False,False,False,False,True,61324632
True,True,False,False,False,False,False,True,61324636
True,True,False,False,False,False,False,True,61324668
True,True,False,False,False,False,False,True,61324673
True,True,False,False,False,True,False,True,558677508
True,True,False,False,False,True,True,True,3577823034
True,True,True,False,False,True,True,True,9973710848
True,True,False,False,False,False,True,True,12138528838
False,False,False,False,False,True,False,True,11394662604
True,True,True,True,False,True,True,True,61358345
True,True,False,True,False,True,False,True,12302336346
True,True,True,True,False,False,True,True,61341769
True,True,False,False,False,False,True,True,7899300298
True,True,False,True,False,False,False,True,579060230
True,False,False,False,False,False,True,True,61325933
True,True,False,False,False,True,False,True,61325942
True,True,False,False,False,True,False,True,61326058
True,True,False,False,False,True,False,True,61326145
True,True,False,True,False,True,False,True,61326149
False,True,False,False,False,False,False,True,7899628454
False,False,False,False,False,False,False,False,7899628469
True,True,False,True,False,False,False,True,1986708487
True,True,True,True,False,True,False,True,1986708490
True,True,False,False,False,True,True,True,540001301
True,False,False,False,False,False,False,True,7071581206
True,False,False,False,False,True,False,True,7727727727
True,True,False,True,False,True,True,True,7896253552
True,True,False,True,False,True,False,True,7896253553
True,True,True,False,False,True,False,True,61326478
True,True,False,False,False,False,True,True,61283322
True,True,True,False,False,False,False,True,61283345
True,True,False,False,False,False,False,True,12193385845
True,True,False,False,False,True,False,True,7599310408
True,True,False,False,False,False,False,True,7599310409
True,True,False,False,False,False,False,True,61326949
True,True,True,True,False,True,False,True,2396898923
True,True,False,False,False,False,False,True,61326955
True,True,True,False,False,True,True,True,61326958
True,True,True,False,False,False,False,True,61326960
True,True,False,False,False,False,False,True,61326964
True,True,False,False,False,False,False,True,61326972
True,True,False,False,False,False,False,True,61326977
True,True,True,False,False,False,False,True,61326981
True,True,True,False,False,False,False,True,61326985
True,True,False,False,False,False,False,True,61327028
True,True,True,True,False,False,False,True,61327031
True,True,False,False,False,False,False,True,61327033
True,True,False,True,False,True,False,True,61327050
True,True,False,False,False,False,False,True,2446018253
True,True,True,False,False,False,True,True,61327065
True,True,True,False,False,False,True,True,61327085
True,True,False,False,True,False,True,True,61327089
True,True,False,False,False,False,False,True,61327104
True,True,True,False,False,False,True,True,61327115
True,True,True,True,True,True,False,True,61327121
True,True,True,False,False,False,True,True,61327122
True,True,True,False,False,False,True,True,61327276
True,True,True,False,False,False,True,True,61327311
True,True,False,False,False,False,True,True,4441550154
True,True,False,True,False,True,True,True,6868617311
True,True,False,True,False,True,False,True,6868617312
True,True,False,True,False,True,False,True,6868617313
True,True,False,False,False,True,False,True,1705821939
True,True,False,False,False,False,False,True,61327635
True,True,False,False,False,True,True,True,61327663
True,True,False,False,False,False,True,True,12118346051
True,True,True,True,False,True,True,True,8522166094
True,True,False,False,False,False,False,True,61327823
True,True,False,False,False,True,True,True,436587028
True,False,False,False,False,True,True,True,1705822843
True,False,False,False,False,True,False,True,1705822849
True,True,False,False,False,True,False,True,61328012
True,True,False,False,False,True,True,True,61328014
True,True,True,False,False,False,True,True,61328016
True,True,True,False,False,False,False,True,61328018
True,True,False,False,False,False,False,True,61328020
True,True,False,False,False,True,False,True,61328027
True,True,True,False,False,False,False,True,61328029
True,True,True,False,False,True,False,True,61328031
True,True,False,False,False,True,False,True,1705822880
True,True,True,False,False,False,True,True,61328038
True,True,True,False,False,False,True,True,61328055
True,True,True,False,False,False,True,True,61328060
True,True,True,False,False,False,False,True,61328062
True,True,False,False,False,True,True,True,61328079
True,True,True,False,False,False,False,True,61328085
True,True,False,False,False,False,False,True,61328089
True,True,False,False,False,False,True,True,6755797727
True,True,True,True,False,False,False,True,61328105
False,True,False,True,False,False,False,True,61328107
True,True,True,False,False,False,True,True,61328115
True,True,False,False,False,False,False,True,61328117
True,True,True,False,False,True,True,True,61328119
True,True,True,False,False,True,False,True,1705790246
True,True,False,False,False,False,False,True,61328171
True,True,True,False,False,False,False,True,1705790264
True,True,False,False,False,False,False,True,61328222
False,True,False,False,False,False,False,True,5742709601
True,True,True,False,False,False,True,True,61328344
True,True,False,False,False,False,True,True,11972267243
True,True,False,False,False,False,False,True,6758780152
True,False,False,False,False,True,False,True,6758780154
True,True,False,False,False,False,False,True,61328707
True,True,False,False,False,False,False,True,12193385834
True,True,False,False,False,False,False,True,4406201720
True,True,False,False,False,True,True,True,12036296263
True,False,False,False,False,False,False,True,12036296266
True,True,True,False,False,True,False,True,275304150
True,True,False,False,False,True,False,True,275304151
True,True,False,False,False,True,True,True,275304153
True,True,True,True,False,True,False,True,7632047882
True,True,False,True,False,True,False,True,9251082073
False,False,False,False,False,False,False,False,10802548575
True,True,False,False,False,False,True,True,5456384056
True,True,False,False,False,False,True,True,5456384058
True,True,False,False,False,True,True,True,5456384066
True,False,False,False,False,False,False,True,5456384068
True,False,False,False,False,False,False,True,275304164
True,True,True,False,False,False,True,True,61329647
True,True,False,False,False,False,False,True,275304165
True,False,False,False,False,False,False,False,275304167
True,True,False,False,False,False,False,True,7866981394
True,True,True,False,False,False,True,True,7866981396
False,True,True,False,False,False,False,True,7866981398
False,True,True,False,False,False,False,True,61329812
True,False,False,False,False,True,False,True,61329818
True,True,True,True,False,False,False,True,61329844
True,True,True,False,False,True,True,True,6540251571
True,True,True,False,False,True,True,True,6540251572
True,True,False,True,False,True,False,False,61329857
True,True,False,False,False,False,False,True,61329862
True,True,True,False,False,False,True,True,61329864
False,True,True,False,False,False,False,True,7866981441
True,True,False,False,False,True,True,True,579064852
True,True,False,False,False,True,True,True,61330557
True,True,False,False,False,False,False,True,61330591
True,True,False,False,False,False,False,True,61330593
True,True,True,False,False,False,True,True,6114648249
True,True,True,False,False,False,False,True,6114648251
True,True,True,False,False,True,True,True,6114648252
True,True,True,False,False,True,False,True,61330688
True,True,False,True,False,False,False,True,568218934
True,True,False,False,False,False,True,True,61330765
True,True,False,True,False,False,True,True,568218971
True,True,False,False,False,False,True,True,61330797
True,True,True,False,False,False,False,True,277667344
True,True,True,True,False,True,False,True,61363608
True,True,False,False,False,True,True,True,12188341782
True,True,False,True,False,True,False,False,12188341783
True,True,False,True,False,False,False,True,2694895127
True,True,False,True,False,True,False,True,2694895134
True,True,False,True,False,True,False,False,2694895140
True,True,False,False,False,False,True,True,540399232
True,True,True,False,False,False,False,True,540399235
True,True,False,False,False,False,True,True,540399255
True,True,False,False,False,False,False,True,540399260
True,True,False,True,False,False,True,True,5674292976
True,True,False,False,False,False,False,True,7896061704
True,True,False,False,False,True,True,True,1705793314
True,True,True,False,False,False,False,True,7891014277
True,True,True,False,False,False,True,True,7891014278
True,True,False,False,False,False,True,True,7891014279
True,True,False,False,False,False,False,True,7891014280
True,True,False,False,False,False,True,True,7891014281
True,True,True,True,False,False,False,True,1009702849
True,True,True,False,False,False,True,True,61329879
True,True,True,False,False,False,False,True,7890163697
True,True,False,False,False,False,True,True,7890163698
True,True,True,False,False,True,False,True,7890163721
True,True,False,False,False,False,True,True,7890163724
True,True,False,False,False,True,False,True,7890163727
True,True,False,False,False,False,False,True,7890163738
True,True,False,False,False,False,True,True,7890163766
True,True,True,False,False,True,False,True,7890163773
True,True,True,False,False,True,False,True,7890163774
True,True,True,True,False,False,False,True,7890163780
True,True,True,False,False,True,False,True,7890163781
True,True,False,False,False,False,False,True,7890163783
True,True,True,False,False,False,True,True,2682542183
True,True,True,False,False,False,False,True,2682542192
True,True,False,False,False,True,True,True,6339188924
True,True,True,True,False,True,False,True,568219843
True,True,True,True,False,False,True,True,7887345934
True,False,True,False,False,False,False,True,61331756
True,True,False,False,False,False,True,True,61331783
False,True,False,False,False,True,False,True,61331824
True,True,False,False,False,False,True,True,61331830
True,False,False,False,False,False,False,True,8580815243
True,True,False,False,False,False,False,True,8580815247
True,True,True,True,False,True,False,True,568220056
True,True,False,False,False,True,False,True,61331888
True,True,True,False,False,True,False,True,61331901
True,False,False,False,False,False,False,True,277666264
True,True,True,False,False,False,True,True,7884019592
True,True,False,False,False,False,False,True,7884019593
True,True,True,False,False,False,True,True,7884019594
True,True,False,False,False,False,False,True,7884019598
True,True,False,False,False,False,False,True,61332114
True,True,False,False,False,True,True,True,6756031135
True,True,True,False,False,True,False,True,61332136
True,True,False,True,False,True,False,True,6264380259
True,True,False,True,False,False,False,True,61332423
True,True,True,False,False,False,False,True,61332432
False,True,False,False,False,True,True,True,9291062356
True,True,True,False,False,False,False,True,7579360337
True,True,True,False,False,False,True,True,7579360368
True,True,True,False,False,True,False,True,7579360375
True,True,False,False,False,True,True,True,6594977019
True,True,True,False,False,False,False,True,61321378
True,True,True,False,False,True,False,True,61332862
True,True,False,False,False,False,True,True,61332865
True,True,True,False,False,False,False,True,9234097173
True,True,True,False,False,True,False,True,277667224
True,True,True,False,False,False,False,True,9234097176
True,True,False,False,False,False,True,True,7890165186
True,True,True,False,False,True,False,True,7890165209
True,True,False,False,False,True,False,True,7890165214
True,True,False,False,False,True,True,True,7890165216
True,True,True,False,False,True,False,True,7890165228
True,True,False,False,False,False,True,True,7890165236
True,True,True,False,False,False,False,True,7890165239
True,True,False,False,False,False,True,True,7890165245
True,True,False,False,False,False,True,True,7890165246
True,True,False,False,False,False,False,True,7890165254
True,True,False,False,False,False,True,True,61333001
True,True,True,False,False,True,False,True,7890165256
True,True,True,False,False,False,False,True,277667346
True,True,False,False,False,True,True,True,313974302
True,True,False,False,False,False,False,True,7890165282
True,True,True,False,False,True,True,True,7890165289
True,True,False,False,False,True,False,True,7890165290
True,True,False,False,False,False,True,True,7890165291
True,True,False,False,False,False,True,True,7890165297
True,True,True,False,False,False,True,True,7890165317
True,True,True,False,False,False,True,True,7890165320
True,True,True,False,False,False,False,True,7890165323
True,True,True,False,False,True,False,True,7890165333
True,True,True,False,False,False,False,True,7890165336
True,True,True,False,False,True,True,True,7890165337
True,True,True,False,False,False,True,True,7890165338
True,True,False,False,False,False,True,True,7890165339
True,True,True,False,False,False,True,True,7890165351
True,True,True,False,False,False,True,True,7890165353
True,True,True,False,False,False,True,True,7890165354
True,True,True,False,False,False,True,True,7890165362
True,True,True,False,False,False,True,True,7890165364
True,True,True,False,False,False,True,True,7890165365
True,True,True,False,False,False,True,True,7890165363
True,True,True,False,False,True,True,True,7890165371
True,True,False,False,False,True,False,False,7890165375
True,True,False,False,False,True,False,True,7890165376
True,True,True,False,False,False,False,True,7890165377
True,True,True,True,False,True,False,True,7890165382
True,True,True,False,False,True,True,True,7890165385
True,True,False,False,False,True,True,True,7890165397
True,True,True,False,False,False,False,True,7890165403
True,True,True,False,False,False,False,True,7890165409
True,True,True,False,False,False,True,True,7890165405
True,True,True,False,False,False,True,True,7890165417
True,True,True,False,False,False,True,True,7890165436
True,True,False,False,False,False,True,True,7890165437
True,True,True,False,False,False,True,True,7890165438
True,True,True,False,False,False,True,True,7890165446
True,True,True,False,False,False,False,True,7890165447
True,True,True,True,False,True,False,True,11752005397
False,False,False,False,False,False,False,False,11752005399
True,True,False,True,False,True,False,True,11752005401
True,True,False,True,False,True,False,True,1052761892
True,True,False,True,False,True,False,False,1052761909
True,True,False,True,False,False,True,True,4978270144
True,True,True,False,False,True,True,True,568123402
True,True,False,True,False,False,False,True,8518885434
True,True,False,False,False,False,False,True,1872214554
True,True,True,False,False,True,False,True,7631495292
True,True,True,False,False,False,True,True,61333688
True,True,False,False,False,False,True,True,61333698
True,True,False,False,False,False,False,True,11749286108
True,False,False,False,False,False,False,True,2501927209
True,True,False,True,False,True,False,True,2501927217
True,True,False,False,False,False,False,True,579068301
True,True,True,False,False,False,False,True,8323097150
True,True,True,False,False,False,True,True,61317399
True,True,False,False,False,False,False,True,1706419053
True,True,False,False,False,False,True,True,1706419061
True,True,False,False,False,False,False,True,1706419105
True,True,False,True,False,False,False,True,11748966997
True,False,False,False,False,False,False,True,9632179205
True,True,False,False,False,True,False,True,8602936356
True,True,False,True,False,False,False,True,438265036
True,True,True,False,False,True,True,True,7069459786
True,False,False,False,False,True,False,True,1629873493
False,False,False,False,False,True,True,True,3687638510
True,True,False,False,False,False,False,True,1706518119
True,True,False,False,False,True,True,True,1706518164
True,True,True,False,False,True,False,True,1819633310
True,True,False,False,False,True,True,True,365389800
False,True,False,False,False,False,True,True,7896983860
True,True,False,False,False,False,False,True,7896983862
True,False,False,False,False,True,False,True,8501422396
True,True,False,True,False,True,False,False,7896983875
True,True,False,True,False,True,False,True,7896983876
True,True,False,True,False,True,False,True,2292083013
True,True,True,True,False,True,False,True,4259113315
True,True,False,False,False,True,False,True,4259113316
True,True,False,False,False,True,False,True,4259113320
True,True,True,False,False,True,False,True,4259113324
True,True,False,False,False,True,True,True,2292050356
True,True,False,False,False,True,False,True,3577801304
True,True,False,False,False,False,False,True,3577801305
True,True,False,True,False,True,True,True,4258949891
True,True,True,True,False,True,False,True,4258949892
True,True,False,False,False,False,True,True,6154480511
True,True,False,False,False,True,False,True,7890165373
True,True,False,True,False,False,True,True,4257901545
True,True,False,False,False,False,False,True,4257901548
True,True,False,False,False,False,False,True,5828537345
True,True,True,False,False,True,False,True,540404767
True,True,False,True,False,True,False,True,7579360324
True,True,True,False,False,True,True,True,7890165381
True,True,False,False,False,True,True,True,5458914500
True,True,False,False,False,False,False,True,4330581232
True,True,True,False,False,False,True,True,7890165394
True,True,False,False,False,False,True,True,365391365
True,True,False,False,False,False,True,True,11419512330
True,True,True,False,False,False,True,True,11419512337
True,True,False,False,False,False,False,True,9070976123
True,True,True,False,False,True,True,True,7890366333
True,True,True,False,False,False,True,True,7890366334
True,True,True,False,False,True,True,True,7890366335
True,True,False,False,False,False,False,True,7890366336
True,True,False,False,False,False,True,True,7890366338
True,True,False,False,False,False,False,True,7890366340
True,True,False,False,False,True,False,True,6755381186
True,True,False,False,False,True,False,True,6755381189
True,True,False,False,False,False,False,True,61328087
True,True,False,False,False,False,False,True,9908416764
True,True,False,False,False,False,False,True,61328091
True,True,False,False,False,False,False,True,7500001764
True,True,False,False,False,False,False,True,7500001765
True,True,True,True,False,True,True,True,3622695526
True,True,False,False,False,False,False,True,3622695549
True,True,True,False,False,False,False,True,9672880783
True,True,False,False,False,False,False,True,542896904
True,True,False,False,False,True,True,True,542897019
